,AR
CDK2AP2>SMAD7,1
FAM177A1>SMAD7,1
PARP9>DNAJC19,1
GYPC>RUFY3,1
ISCU>PARVB,1
RIT1>API5,1
ARHGEF7>IRF3,1
IL32>S100A4,1
INPP5D>TMEM9B,1
DYNC1LI1>USP12,1
BIRC2>RIT1,1
BIRC2>PSMD11,1
GBP1>TMF1,1
MAP1LC3A>FKBP3,1
PPIC>MYLIP,1
FTX>LYST,1
ERICH1>MAP1LC3A,1
MXD4>GLUD1,1
PSMC1>ARHGAP23,1
MXD4>BAG1,1
TMEM248>BAG1,1
MRPL17>GIT1,1
TNXB>SYNGR2,1
CLOCK>CDC42SE1,1
SP100>MCFD2,1
SP100>CLOCK,1
SEPT9>NOVA2,1
SNRPF>SEPT9,1
CLOCK>SEPT9,1
SIGIRR>CTDSPL2,1
METTL5>LAMTOR1,1
EIF3A>SDF4,1
CYSTM1>HIKESHI,1
BTBD7>NSMCE3,1
SNRPD3>CWC15,1
TM7SF3>ERLEC1,1
FAM177A1>UBE2R2,1
EBPL>BTBD7,1
TMEM248>CALCOCO1,1
MXD4>PKN1,1
RNF13>AR,1
ZNF37A>TYMP,1
SNX17>ZNF428,1
ISG15>WASHC4,1
SNX17>CYLD,1
WASHC4>TSG101,1
PKN1>PIN4,1
ORAI1>AR,1
SLC44A2>TMEM141,1
ZNF37A>MFSD10,1
EPB41L4A-AS1>MDH1,1
ZNF37A>KIF1B,1
CDC42BPA>SEC23A,1
PCNP>SOS2,1
SAMD1>MFSD1,1
CHD2>COL6A1,1
COX20>NEDD4,1
CSGALNACT1>ATF7IP,1
NHSL2>PLXNA2,1
C6orf62>SENP6,1
H2AFX>RNMT,1
MTCH1>EMC7,1
CCDC47>NANS,1
ETFB>CTDNEP1,1
CDC73>UBL3,1
KCNN3>TMEM106B,1
CNOT4>AR,1
SH3BGRL2>PPP1R13B,1
SLCO3A1>PPP1R13B,1
NONO>THUMPD3-AS1,1
EPS15>NDUFA6,1
EPS15>APCDD1,1
DPYSL2>APCDD1,1
PPP1R13B>SH3BGRL2,1
SAP30BP>MDFIC,1
DPYSL2>SNX9,1
REEP5>OTUB1,1
RAD21>NPEPPS,1
SMARCE1>SMU1,1
SENP6>KDM5B,1
SENP6>PNPLA8,1
HS3ST1>ECHS1,1
PRKAA1>TRIM22,1
SENP6>SLCO3A1,1
SENP6>SMARCE1,1
SMARCE1>CNOT2,1
KCNN3>NDUFA5,1
KPNA4>AKAP17A,1
MSRB3>EIF2S1,1
PLIN2>EIF2S1,1
USP22>LAMC1,1
NDFIP1>PGRMC1,1
BCL6>TMPO,1
NDFIP1>CCDC68,1
MYO5C>GAPVD1,1
MYO5C>UBE2R2,1
GAPVD1>MYO5C,1
RNF145>UBXN2A,1
NDUFB1>EPS15,1
CHD9>RNF145,1
ARFIP1>ATG12,1
AR>EIF2S1,1
ATP5F1C>KDM6B,1
GLRX5>ACSL4,1
MBD5>ACSL4,1
GLRX5>ZMYM4,1
MAP7D1>APBB2,1
ARFIP1>EWSR1,1
CAVIN3>AR,1
PLIN2>UFL1,1
FKBP3>EZH1,1
PKN2>FBXW5,1
ATP2A2>KCNN3,1
UBE2Q2>ETFA,1
GTF2I>LARP1,1
VAMP3>CSNK2B,1
VAMP3>SAV1,1
RTN3>RAB8B,1
CEBPG>MLLT6,1
CEBPG>PPM1G,1
VAMP3>ADSS,1
C8orf33>ARPP19,1
HOOK3>LBR,1
HOOK3>MAP3K20,1
ARPC5L>ANKRD29,1
CCNH>HMGXB4,1
MAPK1>ZDHHC20,1
ZC3H15>RILPL2,1
ZC3H15>ARHGAP5,1
ARPC5L>HOOK3,1
PSMC4>RAB11B,1
TAF15>PHPT1,1
TAF15>ANP32B,1
TAF15>PSMC4,1
COX8A>EXOC1,1
TSG101>IFIH1,1
TIMMDC1>ZBTB1,1
HIST1H1E>ZBTB1,1
C8orf33>HIST1H1E,1
FRYL>FGFR1,1
SOD2>SMC1A,1
MYOF>EHD2,1
RPS4X>NNMT,1
TMEM18>BCAR1,1
ERG>PMEPA1,1
SDHB>UBE2M,1
SRSF3>IPO7,1
ARL15>GCNT2,1
LAMA5>SF3B5,1
CDIPT>ZFYVE16,1
TIA1>CEBPG,1
CAMLG>ZNF326,1
GFOD1>FBLIM1,1
ZCRB1>GFOD1,1
PNKD>CFAP298,1
ZNF207>CCAR1,1
OSBPL1A>FAAP20,1
PNKD>ATP5MC3,1
SIGIRR>EXOSC6,1
RTN3>EXOSC6,1
SUB1>PRDX6,1
