,ERG
"TKT>POLK,-",1
"CLIC1>TMEM173,+",1
"EIF4A1>SSB,+",1
"RAB5C>ENY2,+",1
"EIF3I>NNMT,+",1
"P4HB>EIF2S2,+",1
"RHOJ>PKM,+",1
"ENSA>PSMB3,+",1
"ATP6V0E1>SYF2,+",1
"HSPE1>SYF2,+",1
"SNX3>MRPL20,+",1
"ACKR1>PRCP,+",1
"TKT>RPGR,+",1
"HSPA2>RPGR,+",1
"DUSP23>RPGR,+",1
"TCF25>NOL7,+",1
"ACKR1>EID1,+",1
"POLK>MED13,+",1
"JTB>UBE2M,+",1
"CSDE1>POLK,+",1
"DUSP23>PCDH17,+",1
"HSPA2>PARK7,+",1
"POLK>SF3B6,+",1
"TMEM173>ARRDC3,+",1
"NDUFB1>LY96,+",1
"HSPA2>LY96,+",1
"DUSP23>LY96,+",1
"POLR1D>LY96,+",1
"TMEM173>ECSCR,+",1
"TKT>EPRS,+",1
"FOXP1>ENSA,+",1
"TMEM173>ENSA,+",1
"HSPE1>EIF3I,+",1
"HSPA2>SF3B6,+",1
"COX5B>EIF3I,+",1
"ATP6V0E1>PKM,+",1
"MRPL33>KHDRBS1,+",1
"PFN1>ARL2,+",1
"TCF25>PSMD1,+",1
"ARRDC3>SPCS3,+",1
"DUSP23>PSMD1,+",1
"ENO1>PSMD1,+",1
"SBDS>POLK,+",1
"RAB5C>POLK,+",1
"HIST1H1D>NOL7,+",1
"PSMD1>POLK,-",1
"UBB>TMA7,+",1
"UBB>ATP5MG,+",1
"RBFOX2>TTC1,+",1
"MOB2>MCAM,+",1
"MARCH6>SELENOM,+",1
"NDUFA4>ATP5MG,+",1
"NDUFB7>HIST1H1D,+",1
"SMAD1>HIST1H1D,+",1
"KMT2A>SETD5,+",1
"TPR>SETD5,+",1
"RPN2>SETD5,+",1
"HIST1H1D>SCP2,-",1
"RHOC>HADHA,+",1
"CD151>HADHA,+",1
"PCGF2>CD40,+",1
"EPRS>NDUFA1,+",1
"CHMP2A>RPN2,+",1
"HIST1H1D>DDX46,+",1
"RPL27>UBA52,+",1
"EIF4A1>TCEAL9,+",1
"NDUFB7>TCEAL9,+",1
"HLA-C>SFSWAP,+",1
"WAC>KMT2A,+",1
"KIAA0355>RPN2,+",1
"TMEM167A>PKM,+",1
"COX6B1>CAMLG,+",1
"NDUFA4>CAMLG,+",1
"CTSZ>CAMLG,+",1
"ELOVL1>TTC1,+",1
"FAM213A>TTC1,+",1
"RPN2>CD151,+",1
"COX8A>PSME2,+",1
"SELENOM>MRPS34,+",1
"EPRS>PSME2,+",1
"CTSZ>SELENOM,+",1
"SLC38A2>COX8A,+",1
"RPN2>TTC1,+",1
"RPN2>SMAD1,+",1
"HIST1H1D>ARL2,+",1
"PSMD8>ARL2,+",1
"HADHA>MRPS34,+",1
"ZC3H13>SYPL1,+",1
"PRPF8>PTPRA,+",1
"TIE1>ARHGDIB,+",1
"PCDH17>RPS27L,+",1
"KANSL1>IFNGR1,+",1
"CMPK1>PEBP1,+",1
"IFITM2>AKAP13,+",1
"SMAD1>AP2B1,+",1
"RPL13>RPS3A,+",1
"CEP350>NOP58,+",1
"AKAP13>PPP2R5E,+",1
"MED13>CYTH1,+",1
"NOP58>USP1,+",1
"ELOB>TMEM30A,+",1
"ANAPC5>LIMS1,+",1
"CMPK1>SNRPD1,+",1
"CMPK1>GNG12,+",1
"C4orf3>GON4L,+",1
"KANSL1>RPN2,+",1
"PDLIM5>TAF10,+",1
"C4orf3>TAF10,+",1
"RPL13>RPL27,+",1
"RPN2>PDIA4,+",1
"PDLIM5>IFNGR1,+",1
"CMPK1>PSMC4,+",1
"KANSL1>CBX5,+",1
"SEC11A>C19orf70,+",1
"UBE2Z>SETD2,+",1
"ATP6V0E1>SETD2,+",1
"PPP2R5E>FAM213A,+",1
"IFNGR1>FAM213A,+",1
"POLK>CMPK1,+",1
"MRPS34>CMPK1,+",1
"GIMAP7>JAK1,+",1
"PPP2R5E>CMPK1,+",1
"PPP2R5E>SETD5,+",1
"KANSL1>SMAD1,+",1
"PEBP1>SETD5,+",1
"CMPK1>MRPS34,+",1
"SMAD1>MFNG,+",1
"LPP>MFNG,+",1
"ARF1>WAC,+",1
"SMAD1>KANSL1,+",1
"TAF10>SYF2,+",1
"ELOB>DHRS3,+",1
"EIF4A1>PDIA4,+",1
"CHMP2A>LIMS1,+",1
"WAC>LPP,+",1
"CTSZ>MRPS34,+",1
"ARL2>SFSWAP,+",1
"TUBB>RTF2,+",1
"SLC25A3>RTF2,+",1
"C4orf3>CTSZ,+",1
"MXI1>MED13,-",1
"C4orf3>MED13,-",1
"SLK>RHOJ,+",1
"NASP>ANAPC5,+",1
"NDUFAF3>TUBB,+",1
"TRMT112>PAIP2,+",1
"CNBP>ARL2,+",1
"C19orf70>CLPTM1,+",1
"C4orf3>TMEM219,+",1
"MKLN1>BNIP3L,+",1
"SLC38A2>H1FX,+",1
