,AR
"MIER1>MRPL32,+",2
"MMP24OS>ITFG1,+",2
"GNAQ>SUN2,+",2
"GLRX3>TIAL1,+",2
"ZBTB38>ATP6AP2,+",2
"ROBO1>POGZ,+",2
"RAB2A>PDCD7,+",2
"DPM3>SMDT1,+",2
"BIRC2>GSK3A,+",2
"CALM3>EIF2S1,+",2
"GPATCH8>SMC4,+",2
"AR>ANKRD17,+",2
"MMP24OS>YTHDF3,-",2
"SUN2>DPM3,+",2
"ATL3>DPM3,+",2
"ERCC6L2>ROBO1,+",2
"RWDD1>CCDC50,+",1
"SRP72>DENR,+",1
"CCDC14>INTS3,+",1
"CTBS>INTS3,-",1
"CCDC50>SMURF2,+",1
"MPRIP>ATP6AP2,+",1
"ELK4>VPS13A,+",1
"NCOA4>NAP1L4,+",1
"WAC>HNRNPUL1,+",1
"RPAP2>CWC15,+",1
"NET1>CCDC14,+",1
"DENR>PPP1R13B,+",1
"ATP6AP2>NAP1L4,+",1
"PPP4R2>PPP1R13B,+",1
"HSPD1>HNRNPUL1,+",1
"GANAB>PPP1R13B,-",1
"GTF2I>CWC15,+",1
"MIR99AHG>ALG13,+",1
"ZBTB38>KRIT1,+",1
"CCT7>AHNAK2,+",1
"C19orf24>ROBO1,+",1
"NCOA4>ROBO1,-",1
"GOSR1>GFOD2,+",1
"CLIC2>GFOD2,+",1
"ATP6AP2>SMC3,+",1
"RNMT>ADAR,+",1
"WBP2>SMC3,-",1
"NCOA4>MYCT1,+",1
"HSPD1>MYCT1,+",1
"MRPS10>TFDP2,+",1
"SRP72>FBXO7,+",1
"CCDC14>FBXO7,+",1
"GPATCH8>TIAL1,+",1
"VPS13A>AHNAK2,+",1
"CCDC50>ATP11C,+",1
"AR>DNMT1,+",1
"CFI>ATP11C,+",1
"CFI>FRG1,+",1
"FBL>CLIC2,+",1
"ZBTB38>GOSR1,+",1
"RBMS3>GOSR1,+",1
"MAP3K2>ELK4,+",1
"DENR>GOSR1,+",1
